AA00001,"データを読み込んでから実施してください。"
AE00065,"発注予定日が未入力のため業務運用日を設定します。よろしいですか？"
AE00066,"加工費＋材料費＋その他経費が単価を超えています。よろしいですか？"
AE00067,"外作から内作に変更されました。"
AE00068,"支給先と一致する取引先保管区が存在しません。保管区コードの登録が必要です。"
AE00071,"使用日に業務運用日より未来は入力できません。"
AE00072,"支給品目番号が品目マスタに存在しません。"
AE00073,"親品目がＭＲＰ管理品目のため、製番管理品目は支給できません。"
AE00074,"支給品目番号に擬似品目は入力できません。"
AE00076,"使用済数量に0は入力できません。"
AE00077,"整数管理品目のため、使用済数量の小数点以下は切り上げを行いました。"
AE00078,"取引先保管区の品目または製番手持在庫数がマイナスとなりました。"
AE00079,"受入が完了しました。登録・更新を行いたい場合は完了解除を行ってください。"
AE00080,"他製番への引当数が不足します。引当メンテナンスで修正してください。"
AE00081,"支給品目番号に発注品目番号は入力できません。"
AE00082,"発注予定日の大小関係が不正です。"
AE00083,"発注納期の大小関係が不正です。"
AE00084,"注文取消日の大小関係が不正です。"
AE00085,"取消伝票発行日の大小関係が不正です。"
AE00086,"注文が取り消されています。登録・更新を行いたい場合は取消解除を行ってください。"
AE00087,"注文取消伝票が発行済みのため登録・更新はできません。"
AE00088,"注文取消を解除します。よろしいですか？"
AE00089,"注文を取り消しました。登録・更新を行いたい場合は取消解除を行ってください。"
AE00090,"発注番号が存在しません。"
AE00091,"作業区が存在しません。"
AE00092,"指定された有償支給履歴は買掛システムにて処理済みのためメンテナンスできません。"
AE00093,"返品日が未入力です。"
AE00094,"指定された発注番号は有償支給履歴に存在しません。"
AE00095,"出庫指示番号が未入力です。"
AE00096,"指定された出庫指示番号は工場コードが異なります。"
AE00097,"指定された出庫指示番号の有償支給履歴と入力された取引先コードが異なります。"
AE00098,"指定された出庫指示番号の有償支給履歴と入力された品目番号が異なります。"
AE00099,"発注番号が未入力です。"
AE00100,"指定された発注番号は工場コードが異なります。"
AE00101,"指定された有償支給番号は有償支給履歴に存在しません。"
AE00102,"指定された出庫指示番号は有償支給履歴に存在しません。"
AE00103,"指定された発注番号、品目番号は有償支給履歴に存在しません。"
AE00104,"注文が取り消されています。更新を行うには、受入実績で注文取消を解除してください。"
AE00105,"注文取消伝票が発行済みのため更新はできません。"
AE00106,"指定された出庫指示番号の有償支給履歴と入力された製番が異なります。"
AE00107,"返品数には、0より大きい数値を入力してください。"
AE00108,"指定された取引先、品目番号と一致する購入単価が存在しません。"
AE00109,"指定された発注番号、品目番号の有償支給履歴と入力された製番が異なります。"
AE00110,"製番は製番計画に存在しません。"
AE00111,"返品先保管区コードが存在しません。"
AE00112,"返品先保管区コードが所要量計算対象ではありません。"
AE00113,"指定された発注番号、品目番号の有償支給履歴と入力された取引先コードが異なります。"
AE00114,"指定された有償支給履歴は工場コードが異なります。"
AE00115,"指定された製番は工場コードが異なります。"
AE00116,"指定された返品元保管区は工場コードが異なります。"
AE00117,"返品日は業務運用日より未来は入力できません。"
AE00118,"品目番号が存在しません。"
AE00119,"指定された取引先、品目番号と一致する支給単価が存在しません。"
AE00120,"入力された返品月は買掛月次更新が終了しています。よろしいですか？"
AE00121,"検査済数が０ではありません。注文取消を行うには、検査済数を０にしてください。"
AE00122,"注文取消を行うには、支給品使用済数量をすべて０にしてください。"
AE00123,"注文取消を解除しました。登録を行いたい場合は、受入実績入力で行ってください。"
AE00124,"指定された有償支給番号は買掛処理済みのため削除できません。"
AE00125,"取引先保管区が存在しません。[発注番号:{0}]"
AE00126,"取引先保管区が存在しません。"
AE00127,"有償支給品在庫管理区分がパラメータに定義されていません。"
AE00128,"返品数には、0以外の数値を入力してください。"
AE00129,"入力された検査月は買掛月次更新が終了しています。よろしいですか？"
AE00130,"指定された発注番号は受入実績に存在しません。"
AE00131,"指定された発注番号は入力された取引先コードと異なります。"
AE00132,"指定された発注番号は入力された品目番号と異なります。"
AE00133,"指定された発注番号は入力された製番と異なります。"
AE00134,"返品元保管区コードが存在しません。"
AE00135,"指定された返品元保管区は工場コードが異なります。"
AE00136,"返品元保管区コードが所要量計算対象ではありません。"
AE00137,"担当者コードが利用者マスタに登録されていません。"
AE00138,"指定された購入返品実績は工場コードが異なります。"
AE00139,"入力された取引先コードの取引先保管区が定義されていません。"
AE00140,"有償支給品の取引先在庫管理は行わない設定になっています。"
AE00141,"有償支給在庫管理区分のパラメータ情報が存在しません。"
AE00142,"指定された購入返品実績は取消されているため、メンテナンスできません。"
AE00143,"受入場所となる保管区コードが存在しません。"
AE00144,"入力された工場コードと受入場所となる保管区コードの工場コードが異なります。"
AE00145,"買掛システム管理の当年月度が設定されていません。"
AE00146,"指定された品目番号は整数管理品目です。返品数は整数を入力してください。"
AE00147,"金額まるめ処理の結果、不整合となります。「単価読込」押下後、再入力してください。"
AE00148,"本体金額または値引金額のマイナス入力はできません。"
AE00149,"担当者コードが利用者マスタに登録されていません。"
AE00150,"購入返品番号が存在しません。"
AE00151,"指定された発注番号は既に受入が完了しているため、変更・削除できません。"
AE00152,"入出庫管理番号の採番に失敗しました。"
AE00153,"発注番号の採番に失敗しました。"
AE00154,"返品元保管区の品目または製番手持在庫数がマイナスとなりました。"
AE00155,"取引先保管区の品目または製番手持在庫数がマイナスとなりました。"
AE00156,"入力された受入月は買掛月次更新が終了しています。よろしいですか？"
AE00157,"返品先保管区の品目または製番手持在庫数がマイナスとなりました。"
AE00158,"指定された有償支給番号はメンテナンスできません。"
AE00159,"金額のまるめ処理をしました。"
AE00160,"実際原価の締めが完了している日付では入力できません。"
AE00161,"実際原価の締めが完了している日付けの実績情報は修正できません。"
AE00162,"出庫先保管区が未登録ですが、受入しました。"
AE00163,"検査待ち保管区が存在しません。"
AE00164,"返品元保管区コードに検査待ち保管区は指定できません。"
AE00173,"必要数が小数値の整数管理品目レコードが存在するため、小数以下を切上げました。"
AE01001,"この製番情報はメンテナンスできません。"
AE01002,"デマンド情報のメンテナンスはできません。"
AE01003,"オーダ発効されていません。"
AE01004,"擬似品目はメンテナンスできません。"
AE01005,"内作はメンテナンスできません。"
AE01006,"メンテナンス対象が選択されていません。"
AE01007,"取消発生番号には整数を入力してください。"
AE01008,"削除品目はメンテナンスできません。"
AE02002,"工場マスタの代表納入場所が未設定です。"
AE02003,"発注予定日または発注納期が未入力です。"
AE02004,"該当レコードが取引先マスタに存在しません。[発注番号:{0}]"
AE02005,"該当レコードが邦貨に存在しません。[発注番号:{0}]"
AE02006,"該当レコードが通貨に存在しません。[発注番号:{0}]"
AE02007,"該当レコードが為替レートマスタに存在しません。[発注番号:{0}]"
AE05002,"他工場のデータです。"
AE05003,"消費税区分マスタが存在しません。"
AE05004,"受入場所が未入力です。"
AE05005,"既に受入が完了しています。登録・更新を行いたい場合は完了解除を行ってください。"
AE05006,"受入日に発注指示日より過去は入力できません。"
AE05007,"受入日が前月以前です。よろしいですか？"
AE05008,"指定された発注番号と受入回数は受入実績入力が行われていません。"
AE05009,"既に受入が完了しています。解除後に行って下さい。"
AE05010,"既に完了解除済みです。"
AE05011,"完了を解除します。よろしいですか？"
AE05012,"受入数が未入力です。"
AE05013,"この品目は検査入力不要です。受入実績のみで行ってください。"
AE05014,"既に検査が完了しています。更新を行いたい場合は完了解除を行ってください。"
AE05015,"合格数が検査済数を超えています。"
AE05016,"検査済数が受入数を超えています。"
AE05017,"製番別手持在庫数が足らないため入庫取消しできません。"
AE05018,"受入数には、0以上の数値を入力してください。"
AE05019,"受入数には、0以上の整数を入力してください。"
AE05020,"受入数の値が不正です。"
AE05021,"受入回数には整数を入力してください。"
AE05022,"受入回数の値が不正です。"
AE05023,"検査済数が未入力です。"
AE05024,"検査済数には数値を入力してください。"
AE05025,"検査済数には整数を入力してください。"
AE05026,"検査済数の値が不正です。"
AE05027,"合格数が未入力です。"
AE05028,"合格数には数値を入力してください。"
AE05029,"合格数には整数を入力してください。"
AE05030,"合格数の値が不正です。"
AE05031,"不良数が未入力です。"
AE05032,"不良理由の不良数には、0より大きい数値を入力してください。"
AE05033,"不良理由の不良数には、0より大きい整数を入力してください。"
AE05034,"不良数の値が不正です。"
AE05035,"不良理由が存在しません。"
AE05036,"整数管理品目のため小数以下を切捨てました。"
AE05037,"検査日をYYYY/MM/DDの日付形式で入力してください。"
AE05038,"検査日に業務運用日より未来は入力できません。"
AE05039,"不良理由コードが未入力です。"
AE05040,"行追加します。よろしいですか？"
AE05041,"行修正します。よろしいですか？"
AE05042,"行削除します。よろしいですか？"
AE05043,"全受入数が発注数を超えています。よろしいですか？"
AE05044,"全受入数が発注数より少ないです。完了しますか？"
AE05045,"全受入数が発注数を超えています。完了しますか？"
AE05046,"検査済数が受入数より少ないです。完了しますか？"
AE05047,"受入日をYYYY/MM/DDの日付形式で入力してください。"
AE05048,"検査日が未入力です。"
AE05049,"「検査済数－合格数」の不良数が不良理由の不良数未満です。"
AE05050,"選択された支給品使用実績データは存在しません。"
AE20019,"受入日が未入力です。"
AE20030,"取引先が存在しません。"
AE20135,"この品目は検査実績を先に完了解除してください。"
AE21916,"受入のみ品目です。在庫状態タイプ＝２：未検査の在庫状態が指定できません。"
AE25016,"外作から内作に変更します。よろしいですか？"
AE25019,"手配着手日以前に発注予定日が設定されています。B2038よろしいですか？"
AE30803,"指定された発注番号は発注指示が行われていません。"
AE32601,"指定した品目番号の品目手配区分は新規発注できません。"
AE32602,"受給品から受給品でないものへの変更はできません。"
AE32603,"受給品でないものから受給品への変更はできません。"
AE32604,"発注納期は生産計画の製番納期より遅らせることはできません。"
AE32608,"発注納期は発注予定日より過去を指定できません。"
AE32609,"発注数が未入力です。"
AE32610,"指定された発注番号は発注指示済みのため、削除できません。"
AE32612,"指定された発注番号は備品発注です。"
AE33111,"受入日に業務運用日より未来は入力できません。"
AE33142,"検査済み数以上の受入数を入力してください。"
AE50037,"取引先コードが未設定です。この発注データは処理されません。"
AE50509,"品目が存在しません。"
AE90001,"表示最大行数をオーバーしています。"
AF00001,"作業区コードが未入力です。"
AF00002,"作業区コードが存在しません。"
AF00003,"作業区コードは他の工場のデータなので指定できません。"
AF00004,"取引先コードが未入力です。"
AF00005,"取引先コードが存在しません。"
AF00006,"出庫指示番号が未入力です。"
AF00007,"出庫指示番号が存在しません。"
AF00008,"出庫指示番号は他の工場のデータなので指定できません。"
AF00009,"作業指示番号が未入力です。"
AF00010,"作業指示番号が存在しません。"
AF00011,"作業指示番号は他の工場のデータなので指定できません。"
AF00012,"発注番号が未入力です。"
AF00013,"発注番号が存在しません。"
AF00014,"発注番号は他の工場のデータなので指定できません。"
AF00015,"出庫指示データが存在しません。"
AF00016,"積送在庫データが存在しません。"
AF00017,"製番在庫から出庫するを選択時に製番は省略できません。"
AF00018,"MRP品目は製番を入力できません。"
AF00019,"品目番号が未入力です。"
AF00020,"品目番号が存在しません。"
AF00021,"保管区コードが未入力です。"
AF00022,"保管区コードが存在しません。"
AF00023,"保管区コードは他の工場のデータなので指定できません。"
AF00024,"工程保管場所コードが未入力です。"
AF00025,"工程保管場所コードが存在しません。"
AF00026,"工程保管場所コードは他の工場のデータなので指定できません。"
AF00027,"出庫元保管区コードが未入力です。"
AF00028,"出庫元保管区コードが存在しません。"
AF00029,"出庫元保管区コードは他の工場のデータなので指定できません。"
AF00030,"出庫先保管区コードが未入力です。"
AF00031,"出庫先保管区コードが存在しません。"
AF00032,"出庫先保管区コードは他の工場のデータなので指定できません。"
AF00033,"入庫保管区コードが未入力です。"
AF00034,"入庫保管区コードが存在しません。"
AF00035,"入庫保管区コードは他の工場のデータなので指定できません。"
AF00036,"戻入元保管区コードが未入力です。"
AF00037,"戻入元保管区コードが存在しません。"
AF00038,"戻入元保管区コードは他の工場のデータなので指定できません。"
AF00039,"戻入元保管区コードが工程保管場所ではありません。"
AF00040,"戻入先保管区コードが未入力です。"
AF00041,"戻入先保管区コードが存在しません。"
AF00042,"戻入先保管区コードは他の工場のデータなので指定できません。"
AF00043,"戻入先保管区コードが倉庫ではありません。"
AF00044,"保管区別品目在庫データが存在しません。"
AF00045,"保管区別製番在庫データが存在しません。"
AF00048,"保管区別在庫数を超えて出庫することはできません。"
AF00049,"保管区別在庫数を超えて移動することはできません。"
AF00050,"製番在庫数を超えて振替することはできません。"
AF00051,"出庫累計数を超えて戻入することはできません。"
AF00052,"積送出庫数を超えて入庫することはできません。"
AF00053,"移動数は省略できません。"
AF00054,"出庫元と出庫先に同じ保管区は指定できません。"
AF00055,"出庫数には0以下の値は入力できません。"
AF00056,"業務運用日が存在しません。"
AF00057,"入出庫管理番号の採番に失敗しました。"
AF00058,"出庫数には数値を指定してください。"
AF00059,"出庫日が未入力もしくは不正な値です。"
AF00060,"入庫数には数値を入力してください。"
AF00061,"入庫日が未入力もしくは不正な値です。"
AF00062,"入庫数には0以下の値は入力できません。"
AF00063,"指定された入出庫区分は出庫処理の対象ではありません。"
AF00064,"指定された入出庫発生区分は出庫処理の対象ではありません。"
AF00065,"不良品出庫は品目在庫を計画外で出庫する場合のみ有効です。"
AF00066,"品目在庫からは振替出庫できません。"
AF00067,"入出庫年月日が業務運用日より未来です。"
AF00068,"該当する入出庫管理番号が存在しません。"
AF00069,"不良品在庫数を超えて出庫しようとしています。"
AF00070,"保管区別製番在庫数を超えて出庫しようとしています。"
AF00071,"保管区別品目在庫数を超えて出庫しようとしています。"
AF00072,"指定された入出庫区分は入庫処理の対象ではありません。"
AF00073,"指定された入出庫発生区分は入庫処理の対象ではありません。"
AF00074,"不良品入庫は品目在庫を計画外で入庫する場合のみ有効です。"
AF00075,"製番在庫へは振替入庫できません。"
AF00076,"入出庫年月日が未入力です。"
AF00077,"出庫元保管区が取得できません。保管区優先順位を設定してください。"
AF00078,"有償支給番号の採番に失敗しました。"
AF00079,"積送伝票番号の採番に失敗しました。"
AF00080,"明細が表示されていないため この操作はできません。"
AF00081,"明細行が選択されていません。"
AF00082,"完了データは選択できません。"
AF00083,"出庫先工場コードが未入力です。"
AF00084,"出庫先工場コードが存在しません。"
AF00085,"戻入数には数値を入力してください。"
AF00086,"戻入日が未入力もしくは不正な値です。"
AF00087,"戻入数には0以下の値は入力できません。"
AF00088,"戻入元保管区の保管区在庫を超えて戻入することはできません。"
AF00089,"出庫元保管区コードが倉庫ではありません。"
AF00090,"製番在庫から戻入するを選択時に製番は省略できません。"
AF00091,"戻入元と戻入先に同じ保管区は指定できません。"
AF00092,"振替数には数値を入力してください。"
AF00093,"振替数には0以下の値は入力できません。"
AF00094,"振替日が未入力もしくは不正な値です。"
AF00095,"所要量データが存在しません。"
AF00096,"出庫元保管区コードが所要量計算対象ではありません。"
AF00097,"戻入先保管区コードが所要量計算対象ではありません。"
AF00100,"出庫キット数には整数を入力してください。"
AF00101,"出庫日が未入力です。"
AF00102,"出庫日はYYYY/MM/DDの日付形式で入力してください。"
AF00103,"出庫日に未来の日付は入力できません。"
AF00104,"入庫日が未入力です。"
AF00105,"入庫日はYYYY/MM/DDの日付形式で入力してください。"
AF00106,"入庫日に未来の日付は入力できません。"
AF00107,"振替日が未入力です。"
AF00108,"振替日はYYYY/MM/DDの日付形式で入力してください。"
AF00109,"振替日に未来の日付は入力できません。"
AF00110,"戻入日が未入力です。"
AF00111,"戻入日はYYYY/MM/DDの日付形式で入力してください。"
AF00112,"戻入日に未来の日付は入力できません。"
AF00113,"出庫先保管区が登録されていません。"
AF00114,"指定した製番は完了していません。"
AF00115,"製番品目の品目在庫からは出庫可能数を超えて出庫はできません。"
AF00116,"他製番在庫からは引当数を超えて出庫はできません。"
AF00117,"保管区振替可能数を超えて振替することはできません。"
AF00118,"完了しているオーダデマンドの保管区別製番在庫データが存在しません。"
AF00119,"オーダデマンドが完了していないため出庫はできません。"
AF00120,"自製番出庫済数を超えて戻入することはできません。"
AF00121,"他製番出庫済数を超えて戻入することはできません。"
AF00122,"品目在庫出庫済数を超えて戻入することはできません。"
AF00123,"引当済数が不足します。引当メンテナンスで引当情報を更新してください。"
AF00124,"保管区出庫可能数を超えて出庫することはできません。"
AF00125,"作業指示番号が存在しません。"
AF00126,"発注番号が存在しません。"
AF00127,"出庫指示番号が存在しません。"
AF00128,"工場コードと作業指示番号の工場コードが一致しません。"
AF00129,"工場コードと発注番号の工場コードが一致しません。"
AF00130,"工場コードと出庫指示番号の工場コードが一致しません。"
AF00131,"工場コードと作業区の工場コードが一致しません。"
AF00132,"既に出庫が完了しています。更新を行いたい場合は完了解除を行ってください。"
AF00133,"工場内移動のため製番在庫に入庫しました。"
AF00134,"戻入元保管区コードが所要量計算対象の保管区です。"
AF00135,"戻入元保管区コードに取引先保管区は指定できません。"
AF00136,"戻入元保管区コードは支給先と一致する取引先保管区を指定してください。"
AF00137,"入力された戻入月は買掛月次更新が終了しています。よろしいですか？"
AF00138,"有償支給品の取引先在庫管理は行わないため、出庫先保管区は指定できません。"
AF00139,"出庫先保管区コードに所要量計算対象の保管区は指定できません。"
AF00140,"出庫先保管区コードに取引先保管区は指定できません。"
AF00141,"出庫先保管区コードは支給先と一致する取引先保管区を指定してください。"
AF00142,"買掛システム管理の当年月度が設定されていません。"
AF00143,"出庫日は業務運用日となります。買掛月次更新が終了していますが、よろしいですか？"
AF00144,"入力された出庫月は買掛月次更新が終了しています。よろしいですか？"
AF00145,"有償支給品の取引先在庫管理は行わないため、戻入元保管区は指定できません。"
AF00146,"出庫数に0は入力できません。"
AF00147,"出庫先品目番号の構成情報に矛盾があります。"
AF00148,"出庫先製番が存在しません。"
AF00149,"出庫先製番計画が未確定です。"
AF00150,"出庫先作業工程コードが作業系列に存在しません。"
AF00151,"出庫先品目は内作です。出庫先作業工程コードが省略されていましたが登録しました。"
AF00152,"当月の計画外出庫数を超える取消数は入力できません。"
AF60001,"出庫元がマイナス在庫になりました。"
AF60002,"戻入先がマイナス在庫になりました。"
AF60003,"出庫累計数が出庫指示数を超えました。"
AF60004,"整数管理品目のため小数点以下は切り上げして更新しました。"
AF60005,"整数管理品目のため小数点以下は切り捨てして更新しました。"
AF60006,"振替可能な在庫はありません。"
AF60007,"一括振替処理を実行しました。"
AF90001,"整数管理品目のため小数点以下は切り上げして更新します。よろしいですか？"
AF90002,"整数管理品目のため小数点以下は切り捨てして更新します。よろしいですか？"
AF90003,"出庫数が出庫残数を超えていますが完了フラグが未完です。完了してよろしいですか？"
AF90004,"出庫累計数が出庫指示数を下回っています。完了してよろしいですか？"
AF90005,"入庫数が入庫残数を超えていますが完了フラグが未完です。完了してよろしいですか？"
AF90006,"入庫累計数が出庫数を下回っています。完了してよろしいですか？"
AF99991,"  {0}[{1}]"
AF99992,"  {0}[{1}] {2}[{3}]"
AF99993,"  {0}[{1}] {2}[{3}] {4}[{5}]"
AF99994,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}]"
AF99995,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}] {8}[{9}]"
AF99999,"{0}"
AG00001,"工場コードが存在しません。"
AG00002,"品目番号が未入力です。"
AG00003,"品目番号が存在しません。"
AG00004,"在庫データが存在しません。"
AG00005,"保管区コードが未入力です。"
AG00006,"保管区コードが存在しません。"
AG00007,"保管区コードは他の工場のデータなので指定できません。"
AG00008,"検索条件は省略できません。"
AG00009,"取引先コードが存在しません。"
AG00010,"品目番号が存在しません。"
AG00011,"工場コードと保管区の工場コードが一致しません。"
AG00012,"取引先コードと保管区の取引先コードが一致しません。"
AG00013,"有効在庫参照が最大表示期間({0}月)を超えています。"
AG00501,"出荷準備L/Tの取得に失敗しました。"
AG00502,"製品構成マスタが存在しません。"
AG99991,"  {0}[{1}]"
AG99992,"  {0}[{1}] {2}[{3}]"
AG99993,"  {0}[{1}] {2}[{3}] {4}[{5}]"
AG99994,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}]"
AG99995,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}] {8}[{9}]"
AG99999,"{0}"
AH00001,"品目番号が未入力です。"
AH00002,"品目番号が存在しません。"
AH00003,"棚卸日はYYYY/MM/DDの日付形式で入力してください。"
AH00004,"棚卸タイプが選択されていません。"
AH00005,"定期棚卸を選択した場合、循環棚卸・臨時棚卸は同時に選択できません。"
AH00006,"棚卸日が過去日のデータは登録できません。"
AH00007,"入力された日付は別の棚卸期間中のため登録できません。"
AH00008,"棚卸期間中、実施済のデータは変更できません。"
AH00009,"棚卸期間中のデータは削除できません。"
AH00010,"臨時棚卸の場合しか保管区指定はできません。"
AH00011,"臨時棚卸の場合しか品目指定はできません。"
AH00012,"読込が成功していないため この操作はできません。"
AH00013,"明細行が選択されていません。"
AH00014,"保管区コードが未入力です。"
AH00015,"対象データが存在しません。品目別棚卸設定ファイル作成を実行してください。"
AH00016,"棚卸区分が棚卸対象外に設定されている品目番号は指定できません。"
AH00017,"実棚数には0以上の数値を入力してください。"
AH00018,"棚卸日が未入力です。"
AH00019,"保管区コードが存在しません。"
AH00020,"保管区コードは他の工場のデータなので指定できません。"
AH00021,"棚卸制御データが存在しません。"
AH00022,"棚卸期間外に実棚入力はできません。"
AH00023,"棚卸実施前のデータは指定できません。"
AH00024,"業務運用日データが存在しません。"
AH00025,"製番の桁数が不正です。"
AH00026,"製番在庫を指定するを選択時に製番は省略できません。"
AH00027,"MRP品目は製番を入力できません。"
AH00028,"擬似品目は指定できません。"
AH00029,"整数管理品目に小数が入力されています。"
AH00030,"棚卸更新済のデータは指定できません。"
AH00031,"棚卸期間中でないため棚卸更新処理は実行できません。"
AH00032,"差異率には0以上の絶対値を入力してください。"
AH00033,"不良在庫調査表は製番在庫から出力できません。"
AH00034,"既に棚卸期間中のためこの処理は実行できません。"
AH00035,"棚卸実施前のデータが存在しないため実行できません。"
AH00036,"棚卸期間中のデータは指定できません。"
AH00037,"業務運用日より未来の棚卸日の退避は実行できません。"
AH00038,"入出庫管理番号の採番に失敗しました。"
AH00039,"指定された製番は存在しないか指定された品目番号でその製番は指定できません。"
AH00040,"今回棚卸対象データではありません。"
AH00041,"エラーデータがあるため取り込みませんでした。（正常 {0}件、エラー {1}件）"
AH00042,"取り込みに失敗しました。（正常 {0}件、エラー {1}件）"
AH00043,"ＣＳＶデータを {0}件読込みました。"
AH00044,"項目数が不足しています。{0}項目必要です。"
AH00045,"{0}件目の {1}項目"
AH00046,"棚卸実施フラグは0か1を指定してください。"
AH50805,"バッチ処理引数の形式が不正です。"
AH50806,"保管区別品目在庫の更新を開始しました。"
AH50807,"保管区別品目在庫の更新を終了しました。"
AH50808,"保管区別製番在庫の更新を開始しました。"
AH50809,"保管区別製番在庫の更新を終了しました。"
AH50810,"棚卸制御の更新を開始しました。"
AH50811,"棚卸制御の更新を終了しました。"
AH53401,"Ｏｒａｃｌｅ　Ｅｒｒｏｒ。"
AH53402,"エラーが発生しました。詳細はトレースログを参照してください。"
AH60001,"他で更新された可能性があるため更新できなかった明細がありました。"
AH60002,"整数管理品目のため小数点以下は切り捨てして更新しました。"
AH60003,"棚卸条件に該当するデータが保管区別品目在庫に存在しませんでした。"
AH60004,"棚卸条件に該当するデータが保管区別製番在庫に存在しませんでした。"
AH60005,"正常に取り込みました。（正常 {0}件、エラー {1}件）"
AH90001,"臨時棚卸条件の保管区指定・品目指定データは削除されます。よろしいですか？"
AH90002,"整数管理品目のため小数点以下は切り捨てます。よろしいですか？"
AH90003,"編集内容はキャンセルされます。よろしいですか？"
AH90004,"前画面に戻ります。よろしいですか？"
AH99991,"  {0}[{1}]"
AH99992,"  {0}[{1}] {2}[{3}]"
AH99993,"  {0}[{1}] {2}[{3}] {4}[{5}]"
AH99994,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}]"
AH99995,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}] {8}[{9}]"
AH99999,"{0}"
AJ00001,"納期(From)の日付が不正です。YYYY/MM/DDの日付形式で入力してください。"
AJ00002,"納期(To)の日付が不正です。YYYY/MM/DDの日付形式で入力してください。"
AJ00003,"納期の大小関係が不正です。"
AJ00004,"着手日(From)の日付が不正です。YYYY/MM/DDの日付形式で入力してください。"
AJ00005,"着手日(To)の日付が不正です。YYYY/MM/DDの日付形式で入力してください。"
AJ00006,"着手日の大小関係が不正です。"
AJ00007,"発注指示データは存在しません。"
AJ00008,"作業指示データは存在しません。"
AJ00009,"製番が未入力です。"
AJ00010,"製番取消発生番号が未入力です。"
AJ00011,"製番取消発生番号に0以上の整数を指定してください。"
AJ00012,"展開レベルが未入力です。"
AJ00013,"展開レベルに0以上の整数を指定してください。"
AJ00014,"品目番号が未入力です。"
AJ00015,"品目番号が存在しません。"
AJ00016,"この製番は所要量計算されていません。"
AJ00017,"入力された製番は論理削除されています。"
AJ00018,"製番、製番取消発生番号が製番計画に存在しません。"
AJ00019,"製番、製番取消発生番号と工場コードが一致しません。"
AJ00020,"対象データが一意に決定しませんでした。レベル１は複数件の表示をしています。"
AK00001,"指定された工場は存在しません。"
AK00002,"日次処理対象日は省略できません。"
AK00003,"翌業務運用日は省略できません。"
AK00004,"工場コードは省略できません。"
AK00005,"最終日次処理実行日が存在しません。"
AK00006,"バッチ処理引数の形式が不正です。"
AK00007,"バッチパラメータの読み込みに失敗しました。"
AK00008,"バッチパラメータデータが存在しません。"
AK00009,"ストアドプロシージャ実行時エラー。"
AK00010,"エラーが発生しました。詳細はトレースログを参照してください。"
AK00011,"業務運用日の読込みに失敗いたしました。"
AK00012,"翌業務運用日の読み込みに失敗いたしました。"
AK00013,"指定日の処理は既に実行済みです。再度実行する場合は実行ボタンを押下してください。"
AK00014,"工場コードの読込みに失敗しました。"
AK00015,"日次処理対象日の形式が不正です。"
AK00016,"翌業務運用日の形式が不正です。"
AK00017,"処理済の日付で再度処理を行いました。"
AK00018,"月次処理対象年月の形式が不正です。"
AK00019,"処理済の年月で再度処理を行いました。"
AK00020,"最終月次処理年月と一致しません。よろしいですか？"
AK00021,"最終月次処理年月と異なる削除処理対象月で実行しました。"
AK00022,"削除処理対象月の形式が不正です。"
AK00023,"月次処理対象日は省略できません。"
AK00024,"削除処理対象月は省略できません。"
AK00025,"全工場指定は出来ません。"
AK00026,"出庫可能な保管区が見つかりません。"
AK25047,"この日の日次処理は既に実行されています。もう一度実行しますか？"
AK25076,"この月の月次処理は既に実行されています。もう一度実行しますか？"
AK30417,"日付が未入力です。"
AK32818,"直前の処理が終了していないので実行出来ません。"
AK33231,"翌業務運用日に矛盾があります。"
AK33232,"過去の日次処理は実行できません。"
AK33261,"過去の月次処理は実行できません。"
AK50537,"日付制御データが存在しません。"
AK50542,"出庫保留番号採番データが存在しません。"
AK50558,"入出庫番号採番データが存在しません。"
AK50585,"所要量データが存在しません。"
AK50594,"保管区別入出庫データが存在しません。"
AK50700,"対象データが存在しません。"
AK50702,"データが２件以上存在します。"
AK50718,"品目手配区分が不正です。"
AK51921,"日次処理でアラームが出力されました。"
AK52026,"出庫可能数算出処理で検索した保管区別品目在庫データが存在していません。"
AK52053,"入出庫数が正数になっていません。"
AK52141,"入出庫区分が不正です。"
AK52142,"入出庫発生区分が不正です。"
AK52146,"入出庫数が負数になっていません。"
AK53355,"返品が発生しています。"
AK53356,"前回出荷データが存在しません。"
AK53401,"Ｏｒａｃｌｅ　Ｅｒｒｏｒ。"
AK53402,"エラーが発生しました。詳細はトレースログを参照してください。"
AK53412,"処理件数。"
AL04001,"期間(From～To)に矛盾があります。 "
AL04002,"期間の指定は90日以内で入力してください。"
AL04003,"選択された制約工程コードが取得できません。"
AL10001,"制約工程コードが未入力です。"
AL10002,"能力／日には0以下の値は入力できません。"
AL10003,"能力単位が未入力です。"
AL10004,"他工場の制約工程コードは指定できません。"
AL10005,"制約工程にデータが存在するため削除できません。"
AL10006,"負荷明細にデータが存在するため削除できません。"
AL10007,"シミュレーション負荷明細にデータが存在するため削除できません。"
AL10008,"能力／日には数値を入力してください。"
